"comparison","delta_annualized_return","delta_sharpe_ratio","delta_max_drawdown","delta_calmar_ratio","delta_annual_turnover"
"dynamic_logit_vs_benchmark",0.0130461708918523,0.123106594821342,-0.0405648907559848,0.0224245314649008,1.25764192139738
"dynamic_xgboost_vs_benchmark",0.00967673418306148,0.074913673771157,-0.0231727639762289,0.024435733750634,0.890829694323145
"dynamic_xgboost_vs_dynamic_logit",-0.00336943670879086,-0.0481929210501848,0.0173921267797559,0.00201120228573318,-0.366812227074235
