"strategy","tc_bps","annualized_return","annualized_volatility","sharpe_ratio","max_drawdown","calmar_ratio","avg_monthly_turnover","annual_turnover","avg_monthly_transaction_cost_drag","n_months","delta_ann_return_vs_benchmark","delta_sharpe_vs_benchmark","beats_benchmark_ann_return"
"benchmark",5,0.0366716502357116,0.0557077786895801,0.415068742873043,-0.187299248826448,0.195791763530732,0.00436681222707423,0.0524017467248907,2.18340611353712e-06,229,0,0,FALSE
"dynamic_logit",5,0.0503775277433278,0.0676123696469007,0.547577227713157,-0.227269374321443,0.221664392282241,0.109170305676856,1.31004366812227,5.4585152838428e-05,229,0.0137058775076162,0.132508484840114,TRUE
"dynamic_xgboost",5,0.0468130906231434,0.067629957804806,0.496508569389724,-0.210472012802677,0.222419551178199,0.0786026200873363,0.943231441048035,3.93013100436681e-05,229,0.0101414403874318,0.0814398265166807,TRUE
"benchmark",10,0.0366446522241832,0.0557064011094691,0.414597598683189,-0.187299248826448,0.19564761980513,0.00436681222707423,0.0524017467248907,4.36681222707424e-06,229,0,0,FALSE
"dynamic_logit",10,0.0496908231160356,0.0676335477153801,0.537704193504531,-0.227864139582433,0.21807215127003,0.109170305676856,1.31004366812227,0.000109170305676856,229,0.0130461708918523,0.123106594821342,TRUE
"dynamic_xgboost",10,0.0463213864072447,0.0676294240405637,0.489511272454346,-0.210472012802677,0.220083353555764,0.0786026200873363,0.943231441048035,7.86026200873363e-05,229,0.00967673418306148,0.074913673771157,TRUE
"benchmark",20,0.0365906180261992,0.0557043513854422,0.413650081950343,-0.187299248826448,0.19535912853609,0.00436681222707423,0.0524017467248907,8.73362445414848e-06,229,0,0,FALSE
"dynamic_logit",20,0.048318226233431,0.067681874377476,0.517934012667542,-0.229052754655522,0.210948025078755,0.109170305676856,1.31004366812227,0.000218340611353712,229,0.0117276082072317,0.104283930717199,TRUE
"dynamic_xgboost",20,0.0453382832938694,0.0676330755204532,0.475486984180681,-0.210472012802677,0.215412408947575,0.0786026200873363,0.943231441048035,0.000157205240174673,229,0.00874766526767012,0.0618369022303374,TRUE
