"date","benchmark_MKT_RF_contrib","benchmark_SMB_contrib","benchmark_HML_contrib","benchmark_MOM_contrib","dynamic_logit_MKT_RF_contrib","dynamic_logit_SMB_contrib","dynamic_logit_HML_contrib","dynamic_logit_MOM_contrib","dynamic_xgboost_MKT_RF_contrib","dynamic_xgboost_SMB_contrib","dynamic_xgboost_HML_contrib","dynamic_xgboost_MOM_contrib"
2010-06-30,-0.013875,-0.00445,-0.0118,-0.006725,-0.019425,-0.00267,-0.01652,-0.004035,-0.019425,-0.00267,-0.01652,-0.004035
2010-07-31,0.017325,0.000575,-0.001225,0.004475,0.024255,0.000345,-0.001715,0.002685,0.024255,0.000345,-0.001715,0.002685
2010-08-31,-0.011925,-0.0075,-0.0043,0.000125,-0.016695,-0.0045,-0.00602,7.5e-05,-0.016695,-0.0045,-0.00602,7.5e-05
2010-09-30,0.0239,0.009575,-0.007525,0.003475,0.02868,0.009575,-0.004515,0.00417,0.03346,0.005745,-0.010535,0.002085
2010-10-31,0.0097,0.002725,-0.006125,0.003675,0.01358,0.001635,-0.008575,0.002205,0.01358,0.001635,-0.008575,0.002205
2010-11-30,0.0015,0.0092,-0.002225,0.00685,0.0021,0.00552,-0.003115,0.00411,0.0021,0.00552,-0.003115,0.00411
2010-12-31,0.017075,0.001825,0.008925,-0.007475,0.023905,0.001095,0.012495,-0.004485,0.023905,0.001095,0.012495,-0.004485
2011-01-31,0.004975,-0.0057,0.00155,-0.000725,0.006965,-0.00342,0.00217,-0.000435,0.006965,-0.00342,0.00217,-0.000435
2011-02-28,0.008725,0.003775,0.002975,0.004725,0.012215,0.002265,0.004165,0.002835,0.012215,0.002265,0.004165,0.002835
2011-03-31,0.00115,0.00625,-0.004575,0.00865,0.00161,0.00375,-0.006405,0.00519,0.00161,0.00375,-0.006405,0.00519
2011-04-30,0.00725,-0.00105,-0.0061,0.000125,0.01015,-0.00063,-0.00854,7.5e-05,0.01015,-0.00063,-0.00854,7.5e-05
2011-05-31,-0.003175,-0.001825,-0.004625,-0.0015,-0.004445,-0.001095,-0.006475,-9e-04,-0.00381,-0.001825,-0.002775,-0.0018
2011-06-30,-0.00435,-0.000675,-5e-04,0.00455,-0.00522,-0.000675,-3e-04,0.00546,-0.00522,-0.000675,-3e-04,0.00546
2011-07-31,-0.005875,-0.002925,-0.002275,5e-04,-0.008225,-0.001755,-0.003185,3e-04,-0.008225,-0.001755,-0.003185,3e-04
2011-08-31,-0.014875,-0.007375,-0.00605,-0.00065,-0.020825,-0.004425,-0.00847,-0.00039,-0.020825,-0.004425,-0.00847,-0.00039
2011-09-30,-0.01895,-0.0078,-0.003825,-0.006,-0.02653,-0.00468,-0.005355,-0.0036,-0.02653,-0.00468,-0.005355,-0.0036
2011-10-31,0.028325,0.007625,0.00015,-0.0035,0.039655,0.004575,0.00021,-0.0021,0.039655,0.004575,0.00021,-0.0021
2011-11-30,-0.000675,-0.00045,-0.0013,0.0097,-0.000945,-0.00027,-0.00182,0.00582,-0.000945,-0.00027,-0.00182,0.00582
2011-12-31,0.001875,-0.0014,0.00385,0.004575,0.002625,-0.00084,0.00539,0.002745,0.002625,-0.00084,0.00539,0.002745
2012-01-31,0.012625,0.005025,-0.002325,-0.020025,0.017675,0.003015,-0.003255,-0.012015,0.017675,0.003015,-0.003255,-0.012015
