"model","n_obs","accuracy","f1_turbulent","auc_roc","tp","fp","tn","fn"
"logit",229,0.689956331877729,0.678733031674208,0.789206497969385,75,14,83,57
"xgboost",229,0.786026200873362,0.804780876494024,0.850905966885348,101,18,79,31
